Ángulo del contad	Tasa con 35kV
2*theta/°	R(35kV)/Imp/s

1,4	11823,0
1,6	11853,0
1,8	11950,0
2,0	12053,0
2,2	12286,0
2,4	12626,0
2,5	12878,0
2,8	13050,0
3,0	13023,0
3,2	12912,0
3,4	12402,0
3,6	11597,0
3,8	10871,0
4,0	10106,0
4,2	9521,0
4,4	8564,0
4,6	7798,0
4,8	6963,0
5,0	5911,0
5,2	5191,0
5,4	4453,0
5,6	3955,0
5,8	3507,0
6,0	3108,0
6,2	2895,0
6,4	2408,0
6,6	2134,0
6,8	1812,0
7,0	1519,0
7,2	1280,0
7,4	1139,0
7,6	1013,0
7,8	957,0
8,0	939,0
8,2	899,0
8,4	871,0
8,6	858,0
8,8	834,0
9,0	790,0
9,2	797,0
9,4	746,0
9,6	708,0
9,8	680,0
10,0	657,0
10,2	638,0
10,4	633,0
10,6	610,0
10,8	601,0
11,0	585,0
11,2	561,0
11,3	558,0
11,6	529,0
11,8	547,0
12,0	523,0
12,2	508,0
12,4	504,0
12,6	506,0
12,8	503,0
13,0	486,0
13,2	497,0
13,4	479,0
13,6	484,0
13,8	443,0
14,0	427,0
14,2	420,0
14,4	410,0
14,6	424,0
14,8	404,0
15,0	418,0
15,2	378,0
15,4	398,0
15,6	398,0
15,8	358,0
16,0	334,0
16,2	341,0
16,4	325,0
16,6	312,0
16,7	327,0
17,0	310,0
17,2	284,0
17,4	320,0
17,6	280,0
17,7	287,0
18,0	279,0
18,2	272,0
18,4	267,0
18,6	256,0
18,8	246,0
19,0	254,0
19,2	234,0
19,4	234,0
19,6	232,0
19,8	244,0
20,0	234,0
20,2	228,0
20,4	221,0
20,6	239,0
20,8	244,0
21,0	237,0
21,2	232,0
21,4	233,0
21,6	231,0
21,7	230,0
22,0	231,0
22,2	253,0
22,4	257,0
22,6	242,0
22,8	238,0
23,0	240,0
23,2	241,0
23,4	249,0
23,6	221,0
23,8	237,0
24,0	235,0
24,2	238,0
24,4	255,0
24,6	247,0
24,7	253,0
25,0	263,0
25,2	256,0
25,4	242,0
25,6	253,0
25,8	252,0
26,0	257,0
26,2	247,0
26,4	231,0
26,6	233,0
26,8	247,0
27,0	243,0
27,2	251,0
27,4	268,0
27,6	246,0
27,8	247,0
28,0	241,0
28,2	258,0
28,4	263,0
28,6	252,0
28,8	261,0
29,0	259,0
29,2	244,0
29,4	266,0
29,6	254,0
29,8	238,0
30,0	241,0
30,2	236,0
30,4	244,0
30,6	259,0
30,8	267,0
31,0	263,0
31,2	276,0
31,4	269,0
31,6	267,0
31,8	288,0
32,0	270,0
32,2	272,0
32,4	270,0
32,5	269,0
32,8	268,0
33,0	287,0
33,2	270,0
33,4	254,0
33,6	259,0
33,8	254,0
34,0	269,0
34,2	253,0
34,4	267,0
34,5	291,0
34,8	267,0
35,0	260,0
35,2	310,0
35,4	314,0
35,5	415,0
35,8	1350,0
36,0	1886,0
36,2	858,0
36,4	395,0
36,5	349,0
36,8	343,0
37,0	287,0
37,2	286,0
37,4	276,0
37,5	293,0
37,8	289,0
38,0	289,0
38,2	291,0
38,4	302,0
38,6	293,0
38,8	293,0
39,0	293,0
39,2	317,0
39,4	334,0
39,5	363,0
39,8	417,0
40,0	568,0
40,2	1236,0
40,4	6223,0
40,5	7944,0
40,8	2452,0
41,0	538,0
41,2	397,0
41,4	322,0
41,5	293,0
41,8	269,0
42,0	269,0
42,2	261,0
42,4	257,0
42,6	252,0
42,8	246,0
43,0	248,0
43,2	229,0
43,4	234,0
43,6	237,0
43,8	243,0
44,0	246,0
44,2	236,0
44,4	232,0
44,5	226,0
44,8	222,0
45,0	222,0
45,2	231,0
45,4	209,0
45,5	221,0
45,8	211,0
46,0	217,0
46,2	211,0
46,4	218,0
46,5	211,0
46,8	205,0
47,0	199,0
47,2	219,0
47,4	205,0
47,6	200,0
47,8	205,0
48,0	210,0
48,2	207,0
48,4	202,0
48,6	207,0
48,8	204,0
49,0	209,0
49,2	201,0
49,4	198,0
49,5	215,0
49,8	209,0
50,0	198,0
50,2	203,0
50,4	190,0
50,5	190,0
50,8	199,0
51,0	190,0
51,2	189,0
51,4	191,0
51,6	196,0
51,8	187,0
52,0	203,0
52,2	201,0
52,4	184,0
52,6	192,0
52,8	185,0
53,0	190,0
53,2	197,0
53,4	192,0
53,6	192,0
53,8	186,0
54,0	206,0
54,2	182,0
54,4	204,0
54,6	205,0
54,8	192,0
55,0	206,0
55,2	190,0
55,4	192,0
55,6	217,0
55,8	196,0
56,0	183,0
56,2	196,0
56,4	189,0
56,6	190,0
56,8	201,0
57,0	184,0
57,2	184,0
57,4	177,0
57,6	189,0
57,8	172,0
58,0	188,0
58,2	205,0
58,4	188,0
58,6	183,0
58,8	198,0
59,0	173,0
59,2	186,0
59,4	174,0
59,6	180,0
59,8	191,0
60,0	196,0
60,2	208,0
60,4	189,0
60,6	194,0
60,8	194,0
61,0	177,0
61,2	185,0
61,4	193,0
61,6	199,0
61,8	191,0
62,0	198,0
62,2	198,0
62,4	195,0
62,6	185,0
62,8	188,0
63,0	181,0
63,2	195,0
63,4	173,0
63,6	182,0
63,8	188,0
64,0	194,0
64,1	182,0
64,4	189,0
64,6	196,0
64,8	189,0
65,0	169,0
65,2	173,0
65,4	176,0
65,6	171,0
65,8	175,0
66,0	182,0
66,2	176,0
66,4	186,0
66,6	178,0
66,8	174,0
67,0	166,0
67,2	172,0
67,4	171,0
67,6	179,0
67,8	165,0
68,0	180,0
68,2	169,0
68,4	166,0
68,6	166,0
68,8	168,0
69,0	172,0
69,1	165,0
69,4	167,0
69,6	181,0
69,8	172,0
70,0	179,0
70,2	179,0
70,4	163,0
70,6	167,0
70,8	166,0
71,0	168,0
71,2	177,0
71,4	171,0
71,6	180,0
71,8	174,0
72,0	179,0
72,2	176,0
72,4	171,0
72,6	183,0
72,8	166,0
73,0	159,0
73,2	167,0
73,4	167,0
73,6	166,0
73,8	187,0
74,0	184,0
74,1	182,0
74,4	189,0
74,6	178,0
74,8	179,0
75,0	179,0
75,2	186,0
75,4	156,0
75,6	166,0
75,8	158,0
76,0	184,0
76,2	161,0
76,4	173,0
76,6	170,0
76,8	175,0
77,0	163,0
77,2	172,0
77,4	160,0
77,6	155,0
77,8	179,0
78,0	170,0
78,2	171,0
78,4	151,0
78,6	169,0
78,8	169,0
79,0	170,0
79,1	178,0
79,4	167,0
79,6	168,0
79,8	154,0
80,0	174,0
80,2	168,0
80,4	175,0
80,6	167,0
80,8	166,0
81,0	176,0
81,1	161,0
81,4	172,0
81,6	164,0
81,8	172,0
82,0	177,0
82,2	166,0
82,4	192,0
82,6	231,0
82,8	426,0
83,0	429,0
83,2	253,0
83,4	172,0
83,6	173,0
83,8	179,0
84,0	171,0
84,1	181,0
84,4	172,0
84,6	170,0
84,8	184,0
85,0	173,0
85,2	170,0
85,4	172,0
85,6	185,0
85,8	174,0
86,0	175,0
86,1	178,0
86,4	170,0
86,6	165,0
86,8	172,0
87,0	166,0
87,2	169,0
87,4	172,0
87,6	159,0
87,8	168,0
88,0	174,0
88,2	174,0
88,4	174,0
88,6	172,0
88,8	174,0
89,0	169,0
89,1	181,0
89,4	168,0
89,6	189,0
89,8	183,0
90,0	179,0
90,2	181,0
90,4	185,0
90,6	165,0
90,8	179,0
91,0	179,0
91,1	174,0
91,4	173,0
91,6	179,0
91,8	173,0
92,0	195,0
92,2	185,0
92,4	183,0
92,6	175,0
92,8	178,0
93,0	178,0
93,2	185,0
93,4	182,0
93,6	194,0
93,8	198,0
94,0	182,0
94,1	212,0
94,4	227,0
94,6	233,0
94,8	293,0
95,0	645,0
95,2	1317,0
95,4	1354,0
95,6	918,0
95,8	468,0
96,0	262,0
96,1	246,0
96,4	204,0
96,6	201,0
96,8	188,0
97,0	187,0
97,2	188,0
97,4	188,0
97,6	184,0
97,8	202,0
98,0	173,0
98,2	177,0
98,4	176,0
98,6	192,0
98,8	181,0
99,0	176,0
99,1	181,0
99,4	167,0
99,6	166,0
99,8	186,0
100,0	178,0
100,2	188,0
100,4	178,0
100,6	183,0
100,8	175,0
101,0	166,0
101,2	178,0
101,4	169,0
101,6	177,0
101,8	201,0
102,0	173,0
102,1	190,0
102,4	182,0
102,6	184,0
102,8	178,0
103,0	169,0
103,2	171,0
103,4	180,0
103,6	173,0
103,8	179,0
104,0	187,0
104,2	182,0
104,4	177,0
104,6	182,0
104,8	194,0
105,0	180,0
105,2	184,0
105,4	197,0
